index, Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),"whether he/she donated blood in March 2007"
1,2 ,50,12500,98 ,N
2,0 ,13,3250,28 ,N
3,1 ,16,4000,35 ,N
4,2 ,20,5000,45 ,N
5,1 ,24,6000,77 ,Y
6,4 ,4,1000,4 ,Y
7,2 ,7,1750,14 ,N
8,1 ,12,3000,35 ,Y
9,2 ,9,2250,22 ,N
10,5 ,46,11500,98 ,N
11,4 ,23,5750,58 ,Y
12,0 ,3,750,4 ,Y
13,2 ,10,2500,28 ,N
14,1 ,13,3250,47 ,Y
15,2 ,6,1500,15 ,N
16,2 ,5,1250,11 ,N
17,2 ,14,3500,48 ,N
18,2 ,15,3750,49 ,N
19,2 ,6,1500,15 ,N
20,2 ,3,750,4 ,N
21,2 ,3,750,4 ,N
22,4 ,11,2750,28 ,Y
23,2 ,6,1500,16 ,N
24,2 ,6,1500,16 ,N
25,9 ,9,2250,16 ,Y
26,4 ,14,3500,40 ,Y
27,4 ,6,1500,14 ,Y
28,4 ,12,3000,34 ,N
29,4 ,5,1250,11 ,N
30,4 ,8,2000,21 ,Y
31,1 ,14,3500,58 ,Y
32,4 ,10,2500,28 ,N
33,4 ,10,2500,28 ,N
34,4 ,9,2250,26 ,N
35,2 ,16,4000,64 ,Y
36,2 ,8,2000,28 ,N
37,2 ,12,3000,47 ,N
38,4 ,6,1500,16 ,N
39,2 ,14,3500,57 ,N
40,4 ,7,1750,22 ,N
41,2 ,13,3250,53 ,N
42,2 ,5,1250,16 ,Y
43,2 ,5,1250,16 ,N
44,2 ,5,1250,16 ,Y
45,4 ,20,5000,69 ,N
46,4 ,9,2250,28 ,N
47,2 ,9,2250,36 ,Y
48,2 ,2,500,2 ,Y
49,2 ,2,500,2 ,Y
50,2 ,2,500,2 ,Y
51,2 ,11,2750,46 ,Y
52,2 ,11,2750,46 ,N
53,2 ,6,1500,22 ,Y
54,2 ,12,3000,52 ,Y
55,4 ,5,1250,14 ,N
56,4 ,19,4750,69 ,N
57,4 ,8,2000,26 ,N
58,2 ,7,1750,28 ,N
59,2 ,16,4000,81 ,Y
60,3 ,6,1500,21 ,Y
61,2 ,7,1750,29 ,Y
62,2 ,8,2000,35 ,N
63,2 ,10,2500,49 ,Y
64,4 ,5,1250,16 ,N
65,2 ,3,750,9 ,N
66,3 ,16,4000,74 ,Y
67,2 ,4,1000,14 ,N
68,0 ,2,500,4 ,Y
69,4 ,7,1750,25 ,Y
70,1 ,9,2250,51 ,Y
71,2 ,4,1000,16 ,Y
72,2 ,4,1000,16 ,Y
73,4 ,17,4250,71 ,N
74,2 ,2,500,4 ,Y
75,2 ,2,500,4 ,N
76,2 ,2,500,4 ,N
77,2 ,4,1000,16 ,N
78,2 ,2,500,4 ,Y
79,2 ,2,500,4 ,Y
80,2 ,2,500,4 ,Y
81,4 ,6,1500,23 ,N
82,2 ,4,1000,16 ,Y
83,2 ,4,1000,16 ,Y
84,2 ,4,1000,16 ,Y
85,2 ,6,1500,28 ,N
86,2 ,6,1500,28 ,Y
87,4 ,2,500,4 ,Y
88,4 ,2,500,4 ,Y
89,4 ,2,500,4 ,Y
90,2 ,7,1750,35 ,N
91,4 ,2,500,4 ,N
92,4 ,2,500,4 ,Y
93,4 ,2,500,4 ,Y
94,4 ,2,500,4 ,Y
95,12 ,11,2750,23 ,Y
96,4 ,7,1750,28 ,Y
